Time sec;Extension mm;Strain 1 %;Load N;;;;;;;;;
62.104;1.88792;2.91452;5546.675;;;;;;;;;
62.204;1.89488;2.91617;5559.123;;;;;;;;;
62.304;1.90192;2.916924;5550.422;;;;;;;;;
62.404;1.90896;2.920223;5586.477;;;;;;;;;
62.504;1.91612;2.922524;5598.195;;;;;;;;;
62.604;1.92324;2.924328;5600.901;;;;;;;;;
62.704;1.93048;2.92144;5558.775;;;;;;;;;
62.804;1.9378;2.922363;5577.803;;;;;;;;;
62.904;1.94516;2.922165;5584.212;;;;;;;;;
63.004;1.95256;2.92315;5592.265;;;;;;;;;
63.104;1.96008;2.946419;5596.353;;;;;;;;;
63.204;1.96708;3.04461;5585.409;;;;;;;;;
63.304;1.97364;3.081031;5638.152;;;;;;;;;
63.404;1.97996;3.101941;5648.835;;;;;;;;;
63.504;1.98624;3.102282;5631.395;;;;;;;;;
63.604;1.99248;3.094511;5643.146;;;;;;;;;
63.704;1.999;3.052625;5615.71;;;;;;;;;
63.804;2.00572;3.045376;5658.305;;;;;;;;;
63.904;2.0126;3.037298;5669.497;;;;;;;;;
64.004;2.01968;3.034473;5660.407;;;;;;;;;
64.104;2.02692;3.034696;5682.588;;;;;;;;;
64.204;2.03436;3.035723;5699.507;;;;;;;;;
64.304;2.042;3.036652;5713.265;;;;;;;;;
64.404;2.0498;3.037616;5719.116;;;;;;;;;
64.504;2.05768;3.039523;5730.615;;;;;;;;;
64.604;2.06568;3.040324;5738.273;;;;;;;;;
64.704;2.07376;3.04748;5717.827;;;;;;;;;
64.804;2.08156;3.097933;5727.538;;;;;;;;;
64.904;2.08904;3.170799;5734.788;;;;;;;;;
65.004;2.09588;3.271745;5716.008;;;;;;;;;
65.104;2.10208;3.328507;5745.139;;;;;;;;;
65.204;2.10784;3.35747;5764.917;;;;;;;;;
65.304;2.11336;3.369397;5746.05;;;;;;;;;
65.404;2.11872;3.37604;5760.51;;;;;;;;;
65.504;2.12384;3.377623;5749.714;;;;;;;;;
65.604;2.12884;3.379669;5758.358;;;;;;;;;
65.704;2.13372;3.381376;5766.926;;;;;;;;;
65.804;2.13848;3.385143;5798.99;;;;;;;;;
65.904;2.14308;3.388588;5817.494;;;;;;;;;
66.004;2.14752;3.391375;5823.836;;;;;;;;;
66.104;2.15184;3.39406;5826.936;;;;;;;;;
66.204;2.15608;3.396903;5830.305;;;;;;;;;
66.304;2.16028;3.399791;5834.193;;;;;;;;;
66.404;2.16444;3.402026;5833.989;;;;;;;;;
66.504;2.16852;3.40506;5813.93;;;;;;;;;
66.604;2.17248;3.401981;5745.587;;;;;;;;;
66.704;2.17652;3.402999;5758.753;;;;;;;;;
66.804;2.18052;3.404659;5782.538;;;;;;;;;
66.904;2.18452;3.405163;5785.792;;;;;;;;;
67.004;2.18852;3.404877;5783.573;;;;;;;;;
67.104;2.19256;3.405244;5792.139;;;;;;;;;
67.204;2.19656;3.40517;5798.448;;;;;;;;;
67.304;2.2006;3.404956;5801.154;;;;;;;;;
67.404;2.20464;3.404436;5804.073;;;;;;;;;
67.504;2.20868;3.404377;5807.655;;;;;;;;;
67.604;2.2128;3.40387;5809.776;;;;;;;;;
67.704;2.21708;3.403302;5812.039;;;;;;;;;
67.804;2.22144;3.403535;5813.329;;;;;;;;;
67.904;2.226;3.404801;5816.074;;;;;;;;;
68.004;2.23064;3.406408;5823.598;;;;;;;;;
68.104;2.23544;3.40798;5833.413;;;;;;;;;
68.204;2.24032;3.408924;5842.554;;;;;;;;;
68.304;2.24548;3.40591;5850.503;;;;;;;;;
68.404;2.25084;3.402598;5857.343;;;;;;;;;
68.504;2.25636;3.396517;5846.996;;;;;;;;;
68.604;2.26212;3.392893;5810.218;;;;;;;;;
68.704;2.26812;3.393906;5834.098;;;;;;;;;
68.804;2.2744;3.393129;5832.276;;;;;;;;;
68.904;2.281;3.392138;5838.669;;;;;;;;;
69.004;2.28784;3.395278;5842.623;;;;;;;;;
69.104;2.29484;3.446385;5839.644;;;;;;;;;
69.204;2.30156;3.516798;5858.328;;;;;;;;;
69.304;2.30816;3.560744;5890.298;;;;;;;;;
69.404;2.31472;3.583949;5883.786;;;;;;;;;
69.504;2.3214;3.583986;5852.954;;;;;;;;;
69.604;2.32824;3.586349;5879.049;;;;;;;;;
69.704;2.33516;3.587487;5894.224;;;;;;;;;
69.804;2.34212;3.587903;5908.31;;;;;;;;;
69.904;2.34912;3.587718;5920.026;;;;;;;;;
70.004;2.35632;3.587831;5933.503;;;;;;;;;
70.104;2.36372;3.587177;5945.245;;;;;;;;;
70.204;2.37132;3.584747;5953.701;;;;;;;;;
70.304;2.3792;3.579095;5949.072;;;;;;;;;
70.404;2.38736;3.584491;5954.118;;;;;;;;;
70.504;2.3956;3.627001;5955.892;;;;;;;;;
70.604;2.40356;3.708918;5953.51;;;;;;;;;
70.704;2.411;3.800973;5955.783;;;;;;;;;
70.804;2.41748;3.923205;5924.246;;;;;;;;;
70.904;2.42344;3.958368;5973.762;;;;;;;;;
71.004;2.429;3.992556;5998.375;;;;;;;;;
71.104;2.43404;4.017938;6006.166;;;;;;;;;
71.204;2.43868;4.031526;6004.365;;;;;;;;;
71.304;2.44304;4.037651;5998.997;;;;;;;;;
71.404;2.44716;4.040504;5999.762;;;;;;;;;
71.504;2.45104;4.042298;6003.654;;;;;;;;;
71.604;2.45472;4.043106;6006.245;;;;;;;;;
71.704;2.4582;4.04343;6005.956;;;;;;;;;
71.804;2.4614;4.043509;6000.526;;;;;;;;;
71.904;2.46448;4.043737;5998.684;;;;;;;;;
72.004;2.46736;4.043642;5968.869;;;;;;;;;
72.104;2.47;4.042019;5948.569;;;;;;;;;
72.204;2.4724;4.042707;5960.443;;;;;;;;;
72.304;2.47468;4.043476;5971.18;;;;;;;;;
72.404;2.4768;4.043929;5977.582;;;;;;;;;
72.504;2.47876;4.044108;5978.467;;;;;;;;;
72.604;2.48064;4.044505;5977.645;;;;;;;;;
72.704;2.4824;4.044146;5978.136;;;;;;;;;
72.804;2.48408;4.044564;5980.947;;;;;;;;;
72.904;2.48568;4.045301;5985.783;;;;;;;;;
73.004;2.48716;4.045686;5990.11;;;;;;;;;
73.104;2.4886;4.04637;5993.399;;;;;;;;;
73.204;2.49004;4.046073;5997.035;;;;;;;;;
73.304;2.49144;4.04667;6000.389;;;;;;;;;
73.404;2.4928;4.046977;6001.544;;;;;;;;;
73.504;2.4942;4.047385;6002.71;;;;;;;;;
73.604;2.49556;4.047374;6003.067;;;;;;;;;
73.704;2.49696;4.047586;6002.773;;;;;;;;;
73.804;2.49836;4.047886;6002.988;;;;;;;;;
73.904;2.4998;4.048449;6003.826;;;;;;;;;
74.004;2.50132;4.048618;6004.658;;;;;;;;;
74.104;2.50292;4.048734;6006.553;;;;;;;;;
74.204;2.5046;4.049196;6008.048;;;;;;;;;
74.304;2.50636;4.049632;6009.145;;;;;;;;;
74.404;2.50832;4.049969;6010.79;;;;;;;;;
74.504;2.5104;4.050513;6012.368;;;;;;;;;
74.604;2.5126;4.051452;6015.004;;;;;;;;;
74.704;2.515;4.05217;6021.106;;;;;;;;;
74.804;2.51756;4.053023;6029.448;;;;;;;;;
74.904;2.52032;4.053478;6040.37;;;;;;;;;
75.004;2.52332;4.053631;6049.571;;;;;;;;;
75.104;2.52664;4.052468;6051.535;;;;;;;;;
75.204;2.5302;4.051815;6048.577;;;;;;;;;
75.304;2.53412;4.051013;6018.411;;;;;;;;;
75.404;2.53836;4.051178;6037.604;;;;;;;;;
75.504;2.54288;4.052327;6053.424;;;;;;;;;
75.604;2.54776;4.051631;6056.775;;;;;;;;;
75.704;2.55292;4.051988;6069.65;;;;;;;;;
75.804;2.55848;4.052669;6076.826;;;;;;;;;
75.904;2.56436;4.053087;6086.729;;;;;;;;;
76.004;2.57056;4.05319;6079.217;;;;;;;;;
76.104;2.57712;4.054184;6092.075;;;;;;;;;
76.204;2.58408;4.055658;6102.28;;;;;;;;;
76.304;2.59136;4.057217;6111.862;;;;;;;;;
76.404;2.59904;4.05992;6120.787;;;;;;;;;
76.504;2.60704;4.061373;6122.177;;;;;;;;;
76.604;2.61536;4.0611;6116.283;;;;;;;;;
76.704;2.62404;4.072193;6105.784;;;;;;;;;
76.804;2.63296;4.096895;6124.889;;;;;;;;;
76.904;2.64216;4.110135;6110.567;;;;;;;;;
77.004;2.65184;4.110287;6117.551;;;;;;;;;
77.104;2.66192;4.10402;6045.076;;;;;;;;;
77.204;2.67252;4.104212;6063.721;;;;;;;;;
77.304;2.68356;4.103407;6063.808;;;;;;;;;
77.404;2.69516;4.102374;6072.231;;;;;;;;;
77.504;2.70724;4.127246;6081.64;;;;;;;;;
77.604;2.71908;4.251243;6091.705;;;;;;;;;
77.704;2.73068;4.320898;6124.051;;;;;;;;;
77.804;2.74224;4.336041;6099.117;;;;;;;;;
77.904;2.75388;4.338296;6120.905;;;;;;;;;
78.004;2.76576;4.335645;6135.919;;;;;;;;;
78.104;2.77796;4.328742;6150.686;;;;;;;;;
78.204;2.79048;4.315947;6164.838;;;;;;;;;
78.304;2.80336;4.30061;6163.196;;;;;;;;;
78.404;2.81668;4.293963;6178.204;;;;;;;;;
78.504;2.83048;4.288814;6190.64;;;;;;;;;
78.604;2.84464;4.301654;6167.098;;;;;;;;;
78.704;2.85876;4.412245;6164.766;;;;;;;;;
78.804;2.8718;4.621466;6131.557;;;;;;;;;
78.904;2.88348;4.751517;6182.404;;;;;;;;;
79.004;2.89424;4.842467;6212.326;;;;;;;;;
79.104;2.9044;4.864782;6182.349;;;;;;;;;
79.204;2.9142;4.873611;6244.937;;;;;;;;;
79.248;2.91844;4.866419;6119.653;;;;;;;;;
79.348;2.92776;4.868942;6151.648;;;;;;;;;
79.448;2.9368;4.866556;6125.859;;;;;;;;;
79.548;2.94564;4.869112;6162.478;;;;;;;;;
79.648;2.95408;4.869476;6188.909;;;;;;;;;
79.748;2.96244;4.870534;6207.297;;;;;;;;;
79.848;2.97056;4.868342;6175.432;;;;;;;;;
79.948;2.97844;4.871361;6204.735;;;;;;;;;
80.048;2.98612;4.872819;6229.933;;;;;;;;;
80.148;2.9936;4.873921;6247.226;;;;;;;;;
80.248;3.00084;4.875045;6253.807;;;;;;;;;
80.348;3.0078;4.875752;6260.194;;;;;;;;;
80.448;3.01452;4.876051;6270.626;;;;;;;;;
80.548;3.02112;4.875458;6278.634;;;;;;;;;
80.648;3.02756;4.873238;6285.231;;;;;;;;;
80.748;3.0338;4.871372;6292.014;;;;;;;;;
80.848;3.04;4.86727;6292.878;;;;;;;;;
80.948;3.04624;4.856017;6292.991;;;;;;;;;
81.048;3.05248;4.842716;6296.905;;;;;;;;;
81.148;3.05876;4.827242;6297.923;;;;;;;;;
81.248;3.06516;4.816297;6310.977;;;;;;;;;
81.348;3.07164;4.809822;6323.652;;;;;;;;;
81.448;3.07824;4.798929;6229.187;;;;;;;;;
81.548;3.08492;4.800692;6258.791;;;;;;;;;
81.648;3.09172;4.800159;6264.926;;;;;;;;;
81.748;3.09872;4.799546;6267.513;;;;;;;;;
81.848;3.10584;4.799363;6274.797;;;;;;;;;
81.948;3.11312;4.799595;6280.03;;;;;;;;;
82.048;3.12052;4.803026;6285.48;;;;;;;;;
82.148;3.12796;4.841222;6275.558;;;;;;;;;
82.248;3.135;4.90161;6292.923;;;;;;;;;
82.348;3.14164;4.955032;6319.287;;;;;;;;;
82.448;3.14788;5.005461;6339.877;;;;;;;;;
82.548;3.15372;5.049367;6352.147;;;;;;;;;
82.648;3.1592;5.076088;6334.721;;;;;;;;;
82.748;3.16448;5.079569;6303.127;;;;;;;;;
82.848;3.1696;5.084078;6329.685;;;;;;;;;
82.948;3.17468;5.086076;6336.228;;;;;;;;;
83.048;3.17968;5.086477;6333.111;;;;;;;;;
83.148;3.1846;5.087047;6342.579;;;;;;;;;
83.248;3.18944;5.08808;6349.711;;;;;;;;;
83.348;3.19424;5.087978;6354.706;;;;;;;;;
83.448;3.199;5.088101;6359.749;;;;;;;;;
83.548;3.20368;5.088017;6363.598;;;;;;;;;
83.648;3.20836;5.087607;6366.795;;;;;;;;;
83.748;3.213;5.086958;6372.128;;;;;;;;;
83.848;3.21764;5.086964;6379.78;;;;;;;;;
83.948;3.22236;5.086172;6386.399;;;;;;;;;
84.048;3.22716;5.084927;6392.277;;;;;;;;;
84.148;3.23204;5.082614;6398.387;;;;;;;;;
84.248;3.23704;5.078373;6402.083;;;;;;;;;
84.348;3.2422;5.065677;6387.031;;;;;;;;;
84.448;3.2476;5.052847;6340.113;;;;;;;;;
84.548;3.25308;5.065626;6363.484;;;;;;;;;
84.648;3.25852;5.111165;6352.816;;;;;;;;;
84.748;3.26364;5.169733;6350.481;;;;;;;;;
84.848;3.26832;5.226531;6354.52;;;;;;;;;
84.948;3.27252;5.285215;6353.032;;;;;;;;;
85.048;3.27616;5.351817;6336.568;;;;;;;;;
85.148;3.27928;5.397188;6339.514;;;;;;;;;
85.248;3.28192;5.423177;6354.032;;;;;;;;;
85.348;3.2842;5.442505;6366.248;;;;;;;;;
85.448;3.28612;5.457091;6375.602;;;;;;;;;
85.548;3.28772;5.46822;6382.119;;;;;;;;;
85.648;3.28904;5.476997;6386.773;;;;;;;;;
85.748;3.29008;5.483688;6388.98;;;;;;;;;
85.848;3.2908;5.488792;6389.018;;;;;;;;;
85.948;3.29128;5.492256;6386.465;;;;;;;;;
86.048;3.29156;5.49477;6382.206;;;;;;;;;
86.148;3.29168;5.496256;6377.224;;;;;;;;;
86.248;3.29172;5.497751;6371.838;;;;;;;;;
86.348;3.29172;5.498526;6366.35;;;;;;;;;
86.448;3.29172;5.498966;6361.406;;;;;;;;;
86.548;3.29172;5.499982;6356.75;;;;;;;;;
86.648;3.29172;5.50012;6352.559;;;;;;;;;
86.748;3.29172;5.500437;6349.143;;;;;;;;;
86.848;3.29172;5.500891;6345.158;;;;;;;;;
86.948;3.29164;5.501505;6342.143;;;;;;;;;
87.048;3.29164;5.501597;6339.061;;;;;;;;;
87.148;3.29164;5.502129;6336.111;;;;;;;;;
87.248;3.29164;5.501913;6333.395;;;;;;;;;
87.348;3.2916;5.502253;6330.676;;;;;;;;;
87.448;3.2916;5.502466;6328.713;;;;;;;;;
87.548;3.2916;5.502379;6326.077;;;;;;;;;
87.648;3.2916;5.502564;6323.957;;;;;;;;;
87.748;3.2916;5.502401;6321.982;;;;;;;;;
87.848;3.2916;5.502699;6319.799;;;;;;;;;
87.948;3.29156;5.502968;6317.994;;;;;;;;;
88.048;3.29156;5.50279;6316.26;;;;;;;;;
88.148;3.29156;5.502927;6314.266;;;;;;;;;
88.248;3.29156;5.503034;6312.634;;;;;;;;;
88.348;3.29156;5.503305;6311.134;;;;;;;;;
88.448;3.29156;5.503439;6309.982;;;;;;;;;
88.548;3.29156;5.503289;6308.372;;;;;;;;;
88.648;3.29156;5.503508;6306.889;;;;;;;;;
88.748;3.29156;5.503555;6305.395;;;;;;;;;
88.848;3.29156;5.503454;6303.739;;;;;;;;;
88.948;3.29156;5.503562;6303.026;;;;;;;;;
89.048;3.29156;5.503901;6301.176;;;;;;;;;
89.148;3.29164;5.503316;6300.303;;;;;;;;;
89.248;3.29164;5.503629;6299.201;;;;;;;;;
89.348;3.29164;5.503519;6297.954;;;;;;;;;
89.448;3.29168;5.503624;6296.85;;;;;;;;;
89.548;3.2918;5.503745;6295.899;;;;;;;;;
89.648;3.292;5.503716;6295.516;;;;;;;;;
89.748;3.29232;5.503695;6295.384;;;;;;;;;
89.848;3.29276;5.504043;6297.105;;;;;;;;;
89.948;3.29332;5.504328;6302.495;;;;;;;;;
90.048;3.29412;5.505123;6312.823;;;;;;;;;
90.148;3.29512;5.506396;6327.757;;;;;;;;;
90.248;3.2964;5.507628;6346.212;;;;;;;;;
90.348;3.29792;5.508867;6367.249;;;;;;;;;
90.448;3.29972;5.510542;6391.903;;;;;;;;;
90.548;3.30188;5.512416;6419.849;;;;;;;;;
90.648;3.30436;5.51463;6451.359;;;;;;;;;
90.748;3.30724;5.517272;6483.403;;;;;;;;;
90.848;3.31048;5.519347;6514.212;;;;;;;;;
90.948;3.31416;5.513675;6477.338;;;;;;;;;
91.048;3.31836;5.507236;6416.101;;;;;;;;;
91.148;3.323;5.510192;6453.063;;;;;;;;;
91.248;3.32808;5.509787;6460.255;;;;;;;;;
91.348;3.33372;5.510978;6476.115;;;;;;;;;
91.448;3.33988;5.514069;6478.082;;;;;;;;;
91.548;3.34648;5.517996;6455.822;;;;;;;;;
91.648;3.35356;5.516965;6419.647;;;;;;;;;
91.748;3.36112;5.519789;6437.795;;;;;;;;;
91.848;3.36916;5.520378;6429.54;;;;;;;;;
91.948;3.37768;5.521962;6437.432;;;;;;;;;
92.048;3.3866;5.522393;6432.875;;;;;;;;;
92.148;3.39612;5.521646;6416.117;;;;;;;;;
92.248;3.40616;5.520929;6400.088;;;;;;;;;
92.348;3.41672;5.520516;6394.536;;;;;;;;;
92.448;3.42796;5.521293;6398.488;;;;;;;;;
92.548;3.4398;5.521988;6400.342;;;;;;;;;
92.648;3.45232;5.522343;6397.56;;;;;;;;;
92.748;3.46556;5.524756;6417.091;;;;;;;;;
92.848;3.4794;5.524813;6436.374;;;;;;;;;
92.948;3.49404;5.517064;6450.74;;;;;;;;;
93.048;3.50948;5.496395;6461.78;;;;;;;;;
93.148;3.52596;5.457794;6433.336;;;;;;;;;
93.248;3.54328;5.458569;6472.754;;;;;;;;;
93.348;3.5612;5.478781;6494.714;;;;;;;;;
93.448;3.57972;5.508667;6507.964;;;;;;;;;
93.548;3.59856;5.594282;6496.94;;;;;;;;;
93.648;3.61708;5.752043;6490.37;;;;;;;;;
93.748;3.6348;5.977694;6474.175;;;;;;;;;
93.848;3.65084;6.220762;6459.872;;;;;;;;;
93.948;3.66508;6.451059;6460.757;;;;;;;;;
94.048;3.6774;6.637426;6475.35;;;;;;;;;
94.148;3.68788;6.779864;6464.034;;;;;;;;;
94.248;3.69696;6.828287;6456.198;;;;;;;;;
94.348;3.70496;6.839097;6454.118;;;;;;;;;
94.448;3.71204;6.840848;6451.05;;;;;;;;;
94.548;3.7182;6.840421;6447.989;;;;;;;;;
94.648;3.7234;6.840413;6445.199;;;;;;;;;
94.748;3.72776;6.839938;6441.699;;;;;;;;;
94.848;3.73124;6.839256;6439.152;;;;;;;;;
94.948;3.73388;6.839202;6435.543;;;;;;;;;
95.048;3.73568;6.83859;6429.776;;;;;;;;;
95.148;3.73668;6.837886;6424.094;;;;;;;;;
95.248;3.737;6.837571;6416.547;;;;;;;;;
95.348;3.737;6.837499;6408.373;;;;;;;;;
95.448;3.73692;6.837142;6401.713;;;;;;;;;
95.548;3.73672;6.837366;6395.802;;;;;;;;;
95.648;3.73624;6.836816;6391.332;;;;;;;;;
95.748;3.7354;6.836647;6387.043;;;;;;;;;
95.848;3.73432;6.836709;6382.445;;;;;;;;;
95.948;3.73292;6.836535;6376.543;;;;;;;;;
96.048;3.73128;6.835911;6368.708;;;;;;;;;
96.148;3.72928;6.835447;6357.77;;;;;;;;;
96.248;3.72692;6.834468;6340.435;;;;;;;;;
96.348;3.72424;6.832929;6310.272;;;;;;;;;
96.448;3.721;6.82897;6259.904;;;;;;;;;
96.548;3.71716;6.824061;6197.077;;;;;;;;;
96.648;3.71284;6.817502;6126.847;;;;;;;;;
96.748;3.708;6.809149;6049.597;;;;;;;;;
96.848;3.70272;6.800124;5964.42;;;;;;;;;
96.948;3.69692;6.789865;5871.59;;;;;;;;;
97.048;3.69068;6.779561;5773.235;;;;;;;;;
97.148;3.684;6.767824;5667.466;;;;;;;;;
97.248;3.677;6.755969;5555.347;;;;;;;;;
97.348;3.66964;6.74426;5440.491;;;;;;;;;
97.448;3.66196;6.730974;5319.212;;;;;;;;;
97.548;3.65408;6.717861;5196.433;;;;;;;;;
97.648;3.646;6.704696;5073.006;;;;;;;;;
97.748;3.63772;6.691565;4947.091;;;;;;;;;
97.846;3.62956;6.678339;4821.874;;;;;;;;;
97.946;3.6212;6.665307;4694.639;;;;;;;;;
98.044;3.61288;6.652193;4569.405;;;;;;;;;
98.142;3.60432;6.639459;4443.914;;;;;;;;;
98.24;3.59576;6.626734;4318.407;;;;;;;;;
98.338;3.58724;6.613536;4193.315;;;;;;;;;
98.436;3.57864;6.600408;4067.477;;;;;;;;;
98.536;3.56992;6.587412;3941.073;;;;;;;;;
98.636;3.56124;6.574905;3817.36;;;;;;;;;
98.736;3.55264;6.562674;3697.044;;;;;;;;;
98.836;3.54428;6.549964;3577.931;;;;;;;;;
98.936;3.53616;6.538239;3463.316;;;;;;;;;
99.036;3.5282;6.526542;3350.748;;;;;;;;;
99.136;3.5206;6.515367;3243.712;;;;;;;;;
99.236;3.51328;6.504413;3143.476;;;;;;;;;
99.336;3.5062;6.494354;3045.777;;;;;;;;;
99.436;3.4994;6.48471;2951.339;;;;;;;;;
99.536;3.493;6.476051;2861.926;;;;;;;;;
99.636;3.48692;6.467345;2778.178;;;;;;;;;
99.736;3.48124;6.459265;2699.263;;;;;;;;;
99.836;3.47584;6.451865;2625.196;;;;;;;;;
99.936;3.4708;6.444983;2555.889;;;;;;;;;
100.036;3.46616;6.438781;2493.217;;;;;;;;;
100.136;3.462;6.432907;2435.828;;;;;;;;;
100.236;3.45832;6.42758;2385.118;;;;;;;;;
100.336;3.45504;6.422571;2340.382;;;;;;;;;
100.436;3.4522;6.417932;2300.532;;;;;;;;;
100.536;3.44976;6.414896;2266.884;;;;;;;;;
100.636;3.44788;6.411672;2240.827;;;;;;;;;
100.736;3.44644;6.409442;2221.745;;;;;;;;;
100.836;3.44552;6.407744;2209.626;;;;;;;;;
100.936;3.44508;6.406795;2203.435;;;;;;;;;
101.036;3.44496;6.406689;2202.632;;;;;;;;;
101.136;3.44496;6.406352;2204.409;;;;;;;;;
101.236;3.44496;6.406023;2206.445;;;;;;;;;
101.336;3.44508;6.406169;2208.111;;;;;;;;;
101.436;3.44528;6.405967;2210.16;;;;;;;;;
101.536;3.44568;6.40616;2211.904;;;;;;;;;
101.636;3.4464;6.405989;2214.179;;;;;;;;;
101.736;3.44736;6.4062;2217.362;;;;;;;;;
101.836;3.44864;6.4061;2221.303;;;;;;;;;
101.936;3.45024;6.406314;2228.641;;;;;;;;;
102.036;3.45216;6.407269;2240.401;;;;;;;;;
102.136;3.45448;6.408295;2262.773;;;;;;;;;
102.236;3.45736;6.410719;2302.422;;;;;;;;;
102.336;3.46088;6.414584;2361.073;;;;;;;;;
102.436;3.46508;6.419361;2430.398;;;;;;;;;
102.536;3.47;6.424627;2510.287;;;;;;;;;
102.636;3.47552;6.43039;2600.429;;;;;;;;;
102.736;3.48168;6.436653;2699.915;;;;;;;;;
102.836;3.48852;6.44401;2809.315;;;;;;;;;
102.936;3.49612;6.451754;2929.398;;;;;;;;;
103.034;3.50424;6.460487;3056.221;;;;;;;;;
103.126;3.51248;6.468768;3182.552;;;;;;;;;
103.212;3.52072;6.477223;3308.664;;;;;;;;;
103.292;3.52892;6.485164;3434.056;;;;;;;;;
103.37;3.53724;6.493694;3561.408;;;;;;;;;
103.446;3.54568;6.502515;3688.945;;;;;;;;;
103.52;3.55424;6.511761;3816.41;;;;;;;;;
103.592;3.56288;6.520437;3942.97;;;;;;;;;
103.66;3.57128;6.529457;4068.713;;;;;;;;;
103.726;3.5798;6.537978;4193.905;;;;;;;;;
103.792;3.58852;6.547139;4322.441;;;;;;;;;
103.856;3.5972;6.556202;4448.912;;;;;;;;;
103.92;3.6062;6.565369;4577.285;;;;;;;;;
103.98;3.6148;6.57397;4703.07;;;;;;;;;
104.04;3.62368;6.583166;4831.34;;;;;;;;;
104.098;3.63248;6.592052;4957.015;;;;;;;;;
104.156;3.64148;6.600883;5084.154;;;;;;;;;
104.214;3.6506;6.610528;5211.568;;;;;;;;;
104.27;3.65964;6.619441;5338.683;;;;;;;;;
104.326;3.66884;6.629726;5468.051;;;;;;;;;
104.38;3.67784;6.638806;5593.894;;;;;;;;;
104.434;3.68708;6.648082;5720.309;;;;;;;;;
104.488;3.69648;6.657792;5847.165;;;;;;;;;
104.542;3.70604;6.667659;5975.942;;;;;;;;;
104.596;3.71576;6.677344;6103.361;;;;;;;;;
104.652;3.726;6.687777;6229.805;;;;;;;;;
104.716;3.73784;6.698702;6356.736;;;;;;;;;
104.816;3.7568;6.709767;6467.204;;;;;;;;;
104.916;3.77648;6.707907;6449.988;;;;;;;;;
105.016;3.79688;6.704301;6433.554;;;;;;;;;
105.116;3.8178;6.704604;6464.798;;;;;;;;;
105.216;3.83956;6.703009;6477.804;;;;;;;;;
105.316;3.86232;6.701028;6492.865;;;;;;;;;
105.416;3.88584;6.700383;6512.526;;;;;;;;;
105.516;3.91024;6.699824;6502.823;;;;;;;;;
105.616;3.93532;6.70506;6542.953;;;;;;;;;
105.716;3.96096;6.709468;6537.834;;;;;;;;;
105.816;3.98748;6.709487;6548.507;;;;;;;;;
105.916;4.01476;6.710938;6554.85;;;;;;;;;
106.016;4.04284;6.715633;6562.766;;;;;;;;;
106.116;4.072;6.722969;6568.821;;;;;;;;;
106.216;4.10176;6.739564;6575.209;;;;;;;;;
106.316;4.13204;6.795043;6580.128;;;;;;;;;
106.416;4.16224;6.92732;6587.294;;;;;;;;;
106.516;4.1918;7.113907;6591.073;;;;;;;;;
106.616;4.22016;7.356943;6589.583;;;;;;;;;
106.716;4.24676;7.61178;6584.732;;;;;;;;;
106.816;4.27076;7.945573;6578.903;;;;;;;;;
106.916;4.292;8.210993;6578.4;;;;;;;;;
107.016;4.311;8.307006;6575.922;;;;;;;;;
107.116;4.32852;8.322829;6569.383;;;;;;;;;
107.216;4.3448;8.31876;6555.314;;;;;;;;;
107.316;4.35984;8.311742;6539.781;;;;;;;;;
107.416;4.37368;8.308587;6534.188;;;;;;;;;
107.516;4.38644;8.306106;6533.888;;;;;;;;;
107.616;4.398;8.304623;6537.173;;;;;;;;;
107.716;4.40848;8.303358;6543.134;;;;;;;;;
107.816;4.41784;8.302309;6550.419;;;;;;;;;
107.916;4.42616;8.301004;6559.364;;;;;;;;;
108.016;4.43332;8.299805;6568.083;;;;;;;;;
108.116;4.43944;8.299021;6577.109;;;;;;;;;
108.216;4.44456;8.298089;6585.097;;;;;;;;;
108.316;4.44864;8.297685;6590.838;;;;;;;;;
108.416;4.45176;8.297519;6594.633;;;;;;;;;
108.516;4.45392;8.297263;6596.299;;;;;;;;;
108.616;4.45516;8.296794;6592.625;;;;;;;;;
108.716;4.45552;8.296236;6584.148;;;;;;;;;
108.816;4.45552;8.295909;6572.877;;;;;;;;;
108.916;4.4554;8.2954;6562.835;;;;;;;;;
109.016;4.455;8.294984;6555.184;;;;;;;;;
109.116;4.45428;8.294731;6547.788;;;;;;;;;
109.216;4.45308;8.29437;6540.807;;;;;;;;;
109.316;4.45152;8.293979;6532.385;;;;;;;;;
109.416;4.44952;8.29331;6521.576;;;;;;;;;
109.516;4.44704;8.292422;6505.109;;;;;;;;;
109.616;4.44404;8.290054;6470.989;;;;;;;;;
109.716;4.44032;8.286425;6411.037;;;;;;;;;
109.816;4.43588;8.281813;6339.059;;;;;;;;;
109.916;4.43076;8.275143;6256.828;;;;;;;;;
110.016;4.425;8.268785;6167.092;;;;;;;;;
110.116;4.41868;8.260643;6068.406;;;;;;;;;
110.216;4.4116;8.251856;5957.862;;;;;;;;;
110.316;4.40388;8.241342;5836.36;;;;;;;;;
110.414;4.39572;8.229833;5708.834;;;;;;;;;
110.506;4.3876;8.218375;5582.832;;;;;;;;;
110.594;4.37932;8.206512;5455.874;;;;;;;;;
110.68;4.37092;8.194784;5329.13;;;;;;;;;
110.762;4.36256;8.182642;5203.794;;;;;;;;;
110.842;4.35408;8.17052;5077.399;;;;;;;;;
